sgRNA	Gene	PO1f_1	PO1f_2	PO1f_3	PO1f_Cas9_ku70_1	PO1f_Cas9_ku70_2	PO1f_Cas9_ku70_3
4489	YALI1_D29481g	927	966	1339	1	1	6
13410	YALI1_B12714g	88	45	176	1	14	35
9947	YALI1_B28472g	396	315	217	6	24	12
7844	YALI1_F36882g	958	897	607	0	0	0
15010	YALI1_C26332g	522	402	684	0	31	4
9640	YALI1_B20192g	659	1091	1719	1	0	0
33414	YALI1_B19453g	381	319	351	39	105	90
44757	YALI1_E10455g	308	317	640	0	1	1
31690	YALI1_F37916g	256	677	1568	0	0	0
7129	YALI1_F18381g	168	82	124	1	8	2
45091	YALI1_E19014g	510	398	1131	0	0	0
40497	YALI1_E01877g	1332	138	367	0	45	16
44850	YALI1_E13082g	114	198	84	0	0	0
45822	YALI1_E36365g	347	610	563	6	33	44
33077	YALI1_B10170g	691	641	879	386	619	530
34233	YALI1_C11862g	93	264	570	0	0	1
1773	YALI1_B19880g	2060	2800	2816	130	293	274
95	Nontargeting	636	673	1096	1336	2484	1698
31913	YALI1_A03567g	536	457	953	550	852	804
37959	YALI1_C02424g	184	307	693	0	0	1
19317	YALI1_F25999g	830	924	1860	2	0	1
33674	YALI1_B26596g	353	438	435	22	0	17
19784	YALI1_F37808g	38	154	362	0	4	3
16662	YALI1_E01019g	86	45	109	0	0	0
11868	YALI1_D16656g	173	418	814	0	0	0
20353	YALI1_D30474g	129	71	92	10	10	21
38177	YALI1_C08548g	192	173	257	50	98	157
34396	YALI1_C16255g	210	208	436	0	0	2
43299	YALI1_F30903g	600	941	723	81	29	30
6337	YALI1_E39862g	801	1209	834	6	4	27
5280	YALI1_E14505g	153	222	628	0	0	0
21448	YALI1_E22633g	347	264	324	97	365	325
40695	YALI1_E06616g	213	294	260	0	0	0
36401	YALI1_A14670g	639	871	727	20	38	46
19137	YALI1_F21467g	211	45	37	0	0	0
25878	YALI1_B27984g	112	214	246	13	158	45
28206	YALI1_D26956g	77	122	295	0	0	0
39704	YALI1_D16236g	143	166	212	0	0	1
22117	YALI1_E38608g	764	730	1257	2	57	12
24680	YALI1_A19010g	205	330	691	1	1	0
37438	YALI1_B18902g	481	405	730	0	0	0
20350	YALI1_D30395g	363	429	727	0	0	1
44667	YALI1_E07899g	643	913	994	1214	1066	667
28128	YALI1_D25006g	220	49	78	0	1	0
12121	YALI1_A02775g	215	297	651	0	1	2
488	YALI1_A09121g	182	633	788	1	0	6
39298	YALI1_D06251g	498	672	603	11	8	14
45794	YALI1_E35734g	121	144	185	53	21	95
20092	YALI1_D23274g	161	299	192	0	0	7
8471	YALI1_A12688g	451	796	631	0	4	26
22639	YALI1_F11224g	94	342	153	0	0	0
4593	YALI1_D32695g	403	547	889	2	5	7
13642	YALI1_B19021g	355	497	922	0	2	2
10347	YALI1_C09150g	99	209	68	0	2	2
37118	YALI1_B09994g	297	211	265	0	0	0
788	YALI1_A16809g	324	186	301	0	0	0
21043	YALI1_E12952g	76	161	153	1	0	0
